|artist_type_encoded|genre_encoded|edad_en_billboard|top
565|1|4|27|0
566|1|4|29|1
567|0|4|29|0
568|1|4|30|1
569|0|2|38|0
570|0|1|34|0
571|0|2|34|0
572|2|1|18|0
573|1|3|34|0
574|2|4|33|0
575|1|2|26|0
576|0|1|35|0
577|0|4|22|0
578|2|1|17|1
579|0|0|39|0
580|0|3|36|1
581|0|1|34|0
582|0|4|56|0
583|0|4|24|1
584|1|2|31|0
585|2|4|20|1
586|0|3|30|0
587|2|3|27|0
588|0|4|37|1
589|2|3|22|0
590|2|1|28|0
591|0|1|35|0
592|0|4|37|0
593|0|4|25|0
594|0|4|36|1
595|0|3|29|0
596|0|3|28|1
597|2|2|29|0
598|0|4|18|1
599|2|3|61|0
600|0|4|17|1
601|0|4|29|0
602|2|3|36|1
603|0|2|31|0
604|0|2|23|0
605|0|4|30|1
606|2|1|28|0
607|0|1|36|0
608|0|4|28|0
609|2|2|22|1
610|0|3|28|1
611|0|2|31|0
612|0|1|21|0
613|1|4|34|1
614|2|3|27|1
615|2|3|23|1
616|0|4|28|0
617|0|2|24|0
618|0|4|35|0
619|0|4|31|0
620|0|2|25|0
621|1|3|26|1
622|0|4|42|0
623|0|4|29|1
624|0|4|27|0
625|0|4|42|0
626|2|3|33|0
627|1|4|32|1
628|0|2|28|0
629|0|1|31|0
630|0|3|24|0
631|2|3|44|0
632|2|4|26|1
633|1|4|32|0
634|0|3|25|0
